Hideaway (1995),2.44
Wishmaster (1997),2.44
Jungle2Jungle (1997),2.44
Cutthroat Island (1995),2.44
Next Karate Kid,2.44
Burnt Offerings (1976),2.44
Pyromaniac's Love Story,2.43
Candyman: Farewell to the Flesh (1995),2.43
For Richer or Poorer (1997),2.43
Two Much (1996),2.43
Swept from the Sea (1997),2.43
Fluke (1995),2.43
Trial by Jury (1994),2.43
Richie Rich (1994),2.43
Tie That Binds,2.43
Deep Rising (1998),2.43
Funeral,2.43
Senseless (1998),2.43
Stranger in the House (1997),2.43
National Lampoon's Senior Trip (1995),2.43
